id,name,constituency,state,party,criminal_cases,total_assets,liabilities,source_url
jagatsinghpur-sc-bibhu-prasad-tarai,Bibhu Prasad Tarai,Jagatsinghpur (SC),Odisha,BJP,3,17974886,950000,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9616
pune-murlidhar-mohol,Murlidhar Mohol,Pune,Maharashtra,BJP,3,243244483,148557877,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6044
kannauj-akhilesh-yadav,Akhilesh Yadav,Kannauj,Uttar Pradesh,SP,3,420262015,9985548,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6236
rampur-mohibbullah,Mohibbullah,Rampur,Uttar Pradesh,SP,3,4505342,0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=902
satna-ganesh-singh,Ganesh Singh,Satna,Madhya Pradesh,BJP,3,94681128,22864373,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1836
sundargarh-st-jual-oram,Jual Oram,Sundargarh (ST),Odisha,BJP,3,86325870,10361616,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7296
solapur-sc-praniti-sushilkumar-shinde,Praniti Sushilkumar Shinde,Solapur (SC),Maharashtra,INC,3,66070402,0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4321
madurai-venkatesan-s,Venkatesan S,Madurai,Tamil Nadu,CPI(M),3,20536639,0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1568
baghpat-dr-rajkumar-sangwan,Dr Rajkumar Sangwan,Baghpat,Uttar Pradesh,Rashtriya Lok Dal,3,4799426,0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1808
koppal-k-rajashekar-basavaraj-hitnal,K. Rajashekar Basavaraj Hitnal,Koppal,Karnataka,INC,3,290429579,126252712,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3400
mumbai-north-west-ravindra-dattaram-waikar,Ravindra Dattaram Waikar,Mumbai North-West,Maharashtra,Shiv Sena,3,545049854,44810574,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7481
bangalore-south-tejasvi-surya,Tejasvi Surya,Bangalore South,Karnataka,BJP,3,41030489,0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2629
bijnor-chandan-chauhan,Chandan Chauhan,Bijnor,Uttar Pradesh,Rashtriya Lok Dal,3,78426582,2572810,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=869
mandya-h-d-kumaraswamy,H.D. Kumaraswamy,Mandya,Karnataka,Janata Dal (Secular),3,2172328789,821806608,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2651
namakkal-matheswaran-v-s,Matheswaran V S,Namakkal,Tamil Nadu,DMK,3,47297973,5039079,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=164
baramulla-abdul-rashid-sheikh,Abdul Rashid Sheikh,Baramulla,Jammu and Kashmir,IND,3,15637424,1442558,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7591
rajkot-parshottambhai-rupala,Parshottambhai Rupala,Rajkot,Gujarat,BJP,3,174316673,195000,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3595
sant-kabir-nagar-laxmikant-pappu-nishad,Laxmikant Pappu Nishad,Sant Kabir Nagar,Uttar Pradesh,SP,3,33728000,3500000,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8387
vaishali-veena-devi,Veena Devi,Vaishali,Bihar,Lok Janshakti Party(Ram Vilas),3,467170049,164762876,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8070
karakat-raja-ram-singh,Raja Ram Singh,Karakat,Bihar,CPI(ML)(L),3,25919942,1900000,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9587
ujiarpur-nityanand-rai,Nityanand Rai,Ujiarpur,Bihar,BJP,3,179527017,1400000,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5152
arrah-sudama-prasad,Sudama Prasad,Arrah,Bihar,CPI(ML)(L),3,9098946,2921615,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9539
maval-shrirang-appa-chandu-barne,Shrirang Appa Chandu Barne,Maval,Maharashtra,Shiv Sena,3,1318591631,8528711,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5325
gandhinagar-amit-shah,Amit Shah,Gandhinagar,Gujarat,BJP,3,656712498,4209587,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4427
murshidabad-abu-taher-khan,Abu Taher Khan,Murshidabad,West Bengal,AITC,3,38476131,0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3377
purulia-jyotirmay-singh-mahato,Jyotirmay Singh Mahato,Purulia,West Bengal,BJP,3,595229,0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7961
begusarai-giriraj-singh,Giriraj Singh,Begusarai,Bihar,BJP,3,143169297,9000000,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5058
chandauli-birendra-singh,Birendra Singh,Chandauli,Uttar Pradesh,SP,3,188017648,1154113,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8803
lalganj-sc-daroga-prasad-saroj,Daroga Prasad Saroj,Lalganj (SC),Uttar Pradesh,SP,3,53876725,0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8140
wayanad-priyanka-gandhi-vadra,Priyanka Gandhi Vadra,Wayanad,Kerala,INC,3,775477352,101905374,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9673
ramtek-sc-shyamkumar-daulat-barve,Shyamkumar Daulat Barve,Ramtek (SC),Maharashtra,INC,2,42894953,16152299,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=675
bareilly-chhatra-pal-singh-gangwar,Chhatra Pal Singh Gangwar,Bareilly,Uttar Pradesh,BJP,2,48788862,7044201,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3486
ranchi-sanjay-seth,Sanjay Seth,Ranchi,Jharkhand,BJP,2,24152085,3244306,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8561
madhubani-ashok-kumar-yadav,Ashok Kumar Yadav,Madhubani,Bihar,BJP,2,58583773,10224706,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7275
giridih-chandra-prakash-choudhary,Chandra Prakash Choudhary,Giridih,Jharkhand,AJSU Party,2,49849182,27031670,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8523
chatra-kali-charan-singh,Kali Charan Singh,Chatra,Jharkhand,BJP,2,86201641,40388667,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7142
hazaribagh-manish-jaiswal,Manish Jaiswal,Hazaribagh,Jharkhand,BJP,2,362999932,58896276,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7144
buldhana-jadhav-prataprao-ganpatrao,Jadhav Prataprao Ganpatrao,Buldhana,Maharashtra,Shiv Sena,2,164260448,1467110,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1958
dumka-st-nalin-soren,Nalin Soren,Dumka (ST),Jharkhand,JMM,2,36701249,705299,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9321
nandyal-dr-byreddy-shabari,Dr Byreddy Shabari,Nandyal,Andhra Pradesh,TDP,2,147631050,32033423,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5114
mirzapur-anupriya-patel,Anupriya Patel,Mirzapur,Uttar Pradesh,Apna Dal (Soneylal),2,42241754,9805603,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9380
dewas-sc-mahendra-singh-solanky,Mahendra Singh Solanky,Dewas (SC),Madhya Pradesh,BJP,2,3817399,2711920,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5160
bangalore-central-p-c-mohan,P C Mohan,Bangalore Central,Karnataka,BJP,2,813065207,158634664,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1866
fatehpur-sikri-rajkumar-chahar,Rajkumar Chahar,Fatehpur Sikri,Uttar Pradesh,BJP,2,34176612,1964321,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4223
nabarangpur-st-balabhadra-majhi,Balabhadra Majhi,Nabarangpur (ST),Odisha,BJP,2,78863561,1124732,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6335
nalgonda-kunduru-raghuveer,Kunduru Raghuveer,Nalgonda,Telangana,INC,2,355731499,176679000,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5294
kolkata-uttar-bandyopadhyay-sudip,Bandyopadhyay Sudip,Kolkata Uttar,West Bengal,AITC,2,84812907,0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9027
diamond-harbour-abhishek-banerjee,Abhishek Banerjee,Diamond Harbour,West Bengal,AITC,2,23264563,3600000,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9008
north-east-delhi-manoj-tiwari,Manoj Tiwari,North East Delhi,Delhi,BJP,2,328162601,10171659,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7903
machhlishahr-sc-priya-saroj,Priya Saroj,Machhlishahr (SC),Uttar Pradesh,SP,2,1125719,0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8097
purvi-champaran-radha-mohan-singh,Radha Mohan Singh,Purvi Champaran,Bihar,BJP,2,42965416,2941310,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7856
dhule-bachhav-shobha-dinesh,Bachhav Shobha Dinesh,Dhule,Maharashtra,INC,2,305035058,21160000,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7088
osmanabad-omprakash-bhupalsinh-alias-pavan-rajenimbalkar,Omprakash Bhupalsinh Alias Pavan Rajenimbalkar,Osmanabad,Maharashtra,ShivSena (Uddhav Balasaheb Thackeray),2,75325549,251709,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3849
thane-naresh-ganpat-mhaske,Naresh Ganpat Mhaske,Thane,Maharashtra,Shiv Sena,2,262602215,46063890,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7462
thoothukkudi-kanimozhi-karunanidhi,Kanimozhi Karunanidhi,Thoothukkudi,Tamil Nadu,DMK,2,604056590,6060187,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=566
jalna-kalyan-vaijinathrao-kale,Kalyan Vaijinathrao Kale,Jalna,Maharashtra,INC,2,1329206684,159268881,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5320
kushi-nagar-vijay-kumar-dubay,Vijay Kumar Dubay,Kushi Nagar,Uttar Pradesh,BJP,2,60174786,0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9114
machilipatnam-balashowry-vallabhaneni,Balashowry Vallabhaneni,Machilipatnam,Andhra Pradesh,Janasena Party,2,1337214564,868102917,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6657
darjeeling-raju-bista,Raju Bista,Darjeeling,West Bengal,BJP,2,475357268,2794788,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2218
ahmednagar-nilesh-dnyandev-lanke,Nilesh Dnyandev Lanke,Ahmednagar,Maharashtra,Nationalist Congress Party – Sharadchandra Pawar,2,4554561,3748757,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5328
ambedkar-nagar-lalji-verma,Lalji Verma,Ambedkar Nagar,Uttar Pradesh,SP,2,110272584,9885979,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8171
mohanlalganj-sc-r-k-chaudhary,R.K. Chaudhary,Mohanlalganj (SC),Uttar Pradesh,SP,2,28384459,0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7161
north-west-delhi-sc-yogender-chandoliya,Yogender Chandoliya,North West Delhi (SC),Delhi,BJP,2,27623483,938900,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7905
sangrur-gurmeet-singh-hayer,Gurmeet Singh Hayer,Sangrur,Punjab,AAP,2,37416362,0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8730
unnao-swami-sachchidanand-hari-sakshi,Swami Sachchidanand Hari Sakshi,Unnao,Uttar Pradesh,BJP,2,67226281,0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5376
barrackpur-partha-bhowmick,Partha Bhowmick,Barrackpur,West Bengal,AITC,2,54235841,11051557,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7118
kadapa-y-s-avinash-reddy,Y. S. Avinash Reddy,Kadapa,Andhra Pradesh,YSRCP,2,404301973,115643913,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5111
mathurapur-sc-bapi-haldar,Bapi Haldar,Mathurapur (SC),West Bengal,AITC,1,24530801,58849,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9088
salem-selvaganapathi-t-m,Selvaganapathi T M,Salem,Tamil Nadu,DMK,1,754021976,261456676,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=176
